claim id,lambda,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,0.1,New_Amsterdam_(TV_series),Ved_verdens_ende,Nikolaj_Coster-Waldau,A_Thousand_Times_Good_Night,A_Second_Chance_(2014_film)
75397,0.2,New_Amsterdam_(TV_series),Nikolaj_Coster-Waldau,The_Other_Woman_(2014_film),Ved_verdens_ende,A_Second_Chance_(2014_film)
75397,0.3,New_Amsterdam_(TV_series),Nikolaj_Coster-Waldau,The_Other_Woman_(2014_film),Ved_verdens_ende,Nukaaka_Coster-Waldau
75397,0.4,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Ved_verdens_ende,Nukaaka_Coster-Waldau
75397,0.5,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Ved_verdens_ende
75397,0.6,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Ved_verdens_ende
75397,0.7,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Gods_of_Egypt_(film)
150448,0.1,Brett_Atwood,Joel_Spolsky,Only_Much_Louder,Quetzal_(disambiguation),Bedside_Press
150448,0.2,Only_Much_Louder,Joel_Spolsky,Brett_Atwood,Quetzal_(disambiguation),Bedside_Press
150448,0.3,Only_Much_Louder,Joel_Spolsky,Brett_Atwood,Tosyn_Bucknor,Quetzal_(disambiguation)
150448,0.4,Only_Much_Louder,Joel_Spolsky,Tosyn_Bucknor,Brett_Atwood,Quetzal_(disambiguation)
150448,0.5,Only_Much_Louder,Joel_Spolsky,Tosyn_Bucknor,Brett_Atwood,Stacey_Roy
150448,0.6,Only_Much_Louder,Tosyn_Bucknor,Joel_Spolsky,Stacey_Roy,Brett_Atwood
150448,0.7,Only_Much_Louder,Tosyn_Bucknor,Joel_Spolsky,Stacey_Roy,Video_copy_detection
214861,0.1,History_of_art,World_Festival_of_Black_Arts,National_Academy_of_Visual_Arts_and_Architecture,Mperience,The_arts
214861,0.2,History_of_art,World_Festival_of_Black_Arts,The_arts,CUAAD,Sky_Arts_(New_Zealand)
214861,0.3,History_of_art,The_arts,World_Festival_of_Black_Arts,CUAAD,Fine_art
214861,0.4,History_of_art,The_arts,Fine_art,CUAAD,Sky_Arts_(New_Zealand)
214861,0.5,History_of_art,The_arts,Fine_art,CUAAD,Sky_Arts_(New_Zealand)
214861,0.6,History_of_art,Fine_art,The_arts,Narrative,Art
214861,0.7,History_of_art,Narrative,Fine_art,Art,The_arts
156709,0.1,Empire_Girls:_Julissa_and_Adrienne,All_You've_Got,Adrienne_Bailon,Julissa_Bermudez,3LW
156709,0.2,Empire_Girls:_Julissa_and_Adrienne,All_You've_Got,Adrienne_Bailon,3LW,Julissa_Bermudez
156709,0.3,Empire_Girls:_Julissa_and_Adrienne,All_You've_Got,Adrienne_Bailon,Loni_Love,3LW
156709,0.4,Empire_Girls:_Julissa_and_Adrienne,All_You've_Got,Loni_Love,Adrienne_Bailon,3LW
156709,0.5,Empire_Girls:_Julissa_and_Adrienne,All_You've_Got,Loni_Love,Adrienne_Bailon,3LW
156709,0.6,Empire_Girls:_Julissa_and_Adrienne,Loni_Love,All_You've_Got,Adrienne_Bailon,3LW
156709,0.7,Empire_Girls:_Julissa_and_Adrienne,Loni_Love,All_You've_Got,Cheetah-licious_Christmas,Adrienne_Bailon
129629,0.1,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),List_of_Homeland_episodes,Homeland_(season_4)
129629,0.2,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),List_of_Homeland_episodes,Homeland_(TV_series)
129629,0.3,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),List_of_Homeland_episodes,Homeland_(TV_series)
129629,0.4,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),List_of_Homeland_episodes,Homeland_(TV_series)
129629,0.5,List_of_Homeland_episodes,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),Homeland_(TV_series)
129629,0.6,List_of_Homeland_episodes,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),Homeland_(TV_series)
129629,0.7,List_of_Homeland_episodes,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3),Homeland_(TV_series)
33078,0.1,1974–75_Boston_Celtics_season,TD_Garden,Boston_Garden,North_Station,List_of_Boston_Celtics_head_coaches
33078,0.2,1974–75_Boston_Celtics_season,TD_Garden,List_of_Boston_Celtics_head_coaches,Boston_Garden,North_Station
33078,0.3,1974–75_Boston_Celtics_season,TD_Garden,List_of_Boston_Celtics_head_coaches,Boston_Garden,North_Station
33078,0.4,1974–75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,TD_Garden,Boston_Celtics,2014–15_Providence_Friars_men's_ice_hockey_season
33078,0.5,1974–75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,TD_Garden,Boston_Celtics,2014–15_Providence_Friars_men's_ice_hockey_season
33078,0.6,1974–75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,Boston_Celtics,2014–15_Providence_Friars_men's_ice_hockey_season,TD_Garden
33078,0.7,1974–75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,Boston_Celtics,2014–15_Providence_Friars_men's_ice_hockey_season,1994–95_Boston_Celtics_season
6744,0.1,Katherine_Orrison,The_Nth_Commandment,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film),Debra_Paget
6744,0.2,Katherine_Orrison,The_Nth_Commandment,The_Ten_Commandments_(1923_film),Debra_Paget,The_King_of_Kings_(1927_film)
6744,0.3,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film)
6744,0.4,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film)
6744,0.5,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film)
6744,0.6,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film)
6744,0.7,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_Ten_Commandments_(1923_film),The_King_of_Kings_(1927_film)
226034,0.1,Tetris,Corum_II:_Dark_Lord,Io_vagabondo,Familiar_to_Millions,Peggy_Anderson
226034,0.2,Tetris,Corum_II:_Dark_Lord,Familiar_to_Millions,Io_vagabondo,Peggy_Anderson
226034,0.3,Tetris,Corum_II:_Dark_Lord,Familiar_to_Millions,Io_vagabondo,Peggy_Anderson
226034,0.4,Tetris,Corum_II:_Dark_Lord,Familiar_to_Millions,John_C._Maxwell,Io_vagabondo
226034,0.5,Tetris,Corum_II:_Dark_Lord,Familiar_to_Millions,John_C._Maxwell,Don_Colbert
226034,0.6,Tetris,Corum_II:_Dark_Lord,John_C._Maxwell,Don_Colbert,Familiar_to_Millions
226034,0.7,Tetris,Corum_II:_Dark_Lord,John_C._Maxwell,Sechs_Kies_discography,Don_Colbert
40190,0.1,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_received_by_Cyndi_Lauper,Dee_Does_Broadway,True_Colors_(Cyndi_Lauper_song)
40190,0.2,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_received_by_Cyndi_Lauper,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,True_Colors_(Cyndi_Lauper_song)
40190,0.3,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,List_of_Billboard_200_number-one_albums_of_1985,Summertime:_Willie_Nelson_Sings_Gershwin
40190,0.4,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,List_of_Billboard_200_number-one_albums_of_1985,Summertime:_Willie_Nelson_Sings_Gershwin
40190,0.5,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,List_of_Billboard_200_number-one_albums_of_1985,And_We_Danced_(The_Hooters_song)
40190,0.6,Cyndi_Lauper,She's_So_Unusual,List_of_Billboard_200_number-one_albums_of_1985,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,And_We_Danced_(The_Hooters_song)
40190,0.7,Cyndi_Lauper,She's_So_Unusual,List_of_Billboard_200_number-one_albums_of_1985,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,And_We_Danced_(The_Hooters_song)
76253,0.1,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_(1986_film),The_Hunger_Games,The_Hunger_Games_(disambiguation)
76253,0.2,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_Games,The_Hunger_(1986_film),Fictional_universe_of_The_Hunger_Games
76253,0.3,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,Fictional_universe_of_The_Hunger_Games,The_Hunger_Games,The_Hunger_(1986_film)
76253,0.4,Fictional_universe_of_The_Hunger_Games,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_Games,The_Hunger_(1986_film)
76253,0.5,Fictional_universe_of_The_Hunger_Games,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_Games,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,Hungry_Mother_Creek
76253,0.6,Fictional_universe_of_The_Hunger_Games,The_Hunger_Games,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,Hungry_Mother_Creek
76253,0.7,Fictional_universe_of_The_Hunger_Games,The_Hunger_Games,MTV_Movie_Award_for_Best_On-Screen_Transformation,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,Hungry_Mother_Creek
